Year,Organization,Unit,Value
2015,1_army,1_hectares,1317
2016,1_army,1_hectares,744
2017,1_army,1_hectares,1178
2018,1_army,1_hectares,425
2019,1_army,1_hectares,987
2020,1_army,1_hectares,531
2021,1_army,1_hectares,377
2015,1_army,2_roads,94
2016,1_army,2_roads,163
2017,1_army,2_roads,896
2018,1_army,2_roads,203
2019,1_army,2_roads,297
2020,1_army,2_roads,342
2021,1_army,2_roads,464
2015,2_trans,1_hectares,87
2016,2_trans,1_hectares,369
2017,2_trans,1_hectares,57
2018,2_trans,1_hectares,43
2019,2_trans,1_hectares,151
2020,2_trans,1_hectares,22
2021,2_trans,1_hectares,49
2015,2_trans,3_railways,99
2016,2_trans,3_railways,225
2017,2_trans,3_railways,118
2018,2_trans,3_railways,84
2019,2_trans,3_railways,114
2020,2_trans,3_railways,61
2021,2_trans,3_railways,31
2015,3_emerg,1_hectares,7820
2016,3_emerg,1_hectares,5440
2017,3_emerg,1_hectares,6670
2018,3_emerg,1_hectares,5070
2019,3_emerg,1_hectares,4845
2020,3_emerg,1_hectares,2274
2021,3_emerg,1_hectares,1827
2015,4_ngo,1_hectares,
2016,4_ngo,1_hectares,
2017,4_ngo,1_hectares,131
2018,4_ngo,1_hectares,247
2019,4_ngo,1_hectares,165
2020,4_ngo,1_hectares,216
2021,4_ngo,1_hectares,290
2015,,1_hectares,9224
2016,,1_hectares,6553
2017,,1_hectares,8036
2018,,1_hectares,5785
2019,,1_hectares,6148
2020,,1_hectares,2827
2021,,1_hectares,2543
2015,,2_roads,94
2016,,2_roads,163
2017,,2_roads,896
2018,,2_roads,203
2019,,2_roads,297
2020,,2_roads,342
2021,,2_roads,464
2015,,3_railways,99
2016,,3_railways,225
2017,,3_railways,118
2018,,3_railways,84
2019,,3_railways,114
2020,,3_railways,61
2021,,3_railways,31
