Year,Component,Region,Age,Gender,Value
2017,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2018,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2019,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2017,com_1_cohension,14_reg_Donetsk,age_2_36_60,,6.7
2018,com_1_cohension,14_reg_Donetsk,age_2_36_60,,
2019,com_1_cohension,14_reg_Donetsk,age_2_36_60,,
2017,com_1_cohension,14_reg_Donetsk,age_3_61,,7
2018,com_1_cohension,14_reg_Donetsk,age_3_61,,
2019,com_1_cohension,14_reg_Donetsk,age_3_61,,
2017,com_1_cohension,14_reg_Donetsk,,males,6.7
2018,com_1_cohension,14_reg_Donetsk,,males,
2019,com_1_cohension,14_reg_Donetsk,,males,
2017,com_1_cohension,14_reg_Donetsk,,females,7
2018,com_1_cohension,14_reg_Donetsk,,females,
2019,com_1_cohension,14_reg_Donetsk,,females,
2017,com_1_cohension,21_reg_Luhansk,age_1_18_35,,6.4
2018,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2019,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2017,com_1_cohension,21_reg_Luhansk,age_2_36_60,,6.7
2018,com_1_cohension,21_reg_Luhansk,age_2_36_60,,
2019,com_1_cohension,21_reg_Luhansk,age_2_36_60,,
2017,com_1_cohension,21_reg_Luhansk,age_3_61,,6.9
2018,com_1_cohension,21_reg_Luhansk,age_3_61,,
2019,com_1_cohension,21_reg_Luhansk,age_3_61,,
2017,com_1_cohension,21_reg_Luhansk,,males,6.7
2018,com_1_cohension,21_reg_Luhansk,,males,
2019,com_1_cohension,21_reg_Luhansk,,males,
2017,com_1_cohension,21_reg_Luhansk,,females,6.7
2018,com_1_cohension,21_reg_Luhansk,,females,
2019,com_1_cohension,21_reg_Luhansk,,females,
2017,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,6.4
2018,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,6.6
2018,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,7
2018,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,,males,6.6
2018,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2019,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2017,com_1_cohension,13_reg_Dnipropetrovsk,,females,6.6
2018,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2019,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2017,com_1_cohension,17_reg_Zaporizhya,age_1_18_35,,6.3
2018,com_1_cohension,17_reg_Zaporizhya,age_1_18_35,,
2019,com_1_cohension,17_reg_Zaporizhya,age_1_18_35,,
2017,com_1_cohension,17_reg_Zaporizhya,age_2_36_60,,6.5
2018,com_1_cohension,17_reg_Zaporizhya,age_2_36_60,,
2019,com_1_cohension,17_reg_Zaporizhya,age_2_36_60,,
2017,com_1_cohension,17_reg_Zaporizhya,age_3_61,,6.8
2018,com_1_cohension,17_reg_Zaporizhya,age_3_61,,
2019,com_1_cohension,17_reg_Zaporizhya,age_3_61,,
2017,com_1_cohension,17_reg_Zaporizhya,,males,6.4
2018,com_1_cohension,17_reg_Zaporizhya,,males,
2019,com_1_cohension,17_reg_Zaporizhya,,males,
2017,com_1_cohension,17_reg_Zaporizhya,,females,6.6
2018,com_1_cohension,17_reg_Zaporizhya,,females,
2019,com_1_cohension,17_reg_Zaporizhya,,females,
2017,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,6.4
2018,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2019,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2017,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,6.6
2018,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,
2019,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,
2017,com_1_cohension,29_reg_Kharkiv,age_3_61,,6.7
2018,com_1_cohension,29_reg_Kharkiv,age_3_61,,
2019,com_1_cohension,29_reg_Kharkiv,age_3_61,,
2017,com_1_cohension,29_reg_Kharkiv,,males,6.5
2018,com_1_cohension,29_reg_Kharkiv,,males,
2019,com_1_cohension,29_reg_Kharkiv,,males,
2017,com_1_cohension,29_reg_Kharkiv,,females,6.7
2018,com_1_cohension,29_reg_Kharkiv,,females,
2019,com_1_cohension,29_reg_Kharkiv,,females,
