Year,Article,Group,Unit,Value
2015,1_art_all,1_all,1_vict_per_100,965.12
2016,1_art_all,1_all,1_vict_per_100,1044.08
2017,1_art_all,1_all,1_vict_per_100,882.92
2018,1_art_all,1_all,1_vict_per_100,817.92
2019,1_art_all,1_all,1_vict_per_100,720.23
2020,1_art_all,1_all,1_vict_per_100,564.62
2021,1_art_all,1_all,1_vict_per_100,479.20
2022,1_art_all,1_all,1_vict_per_100,560.98
2023,1_art_all,1_all,1_vict_per_100,862.39
2015,1_art_all,1_all,2_vict_all,412689
2016,1_art_all,1_all,2_vict_all,444617
2017,1_art_all,1_all,2_vict_all,374238
2018,1_art_all,1_all,2_vict_all,344780
2019,1_art_all,1_all,2_vict_all,301792
2020,1_art_all,1_all,2_vict_all,234816
2021,1_art_all,1_all,2_vict_all,197274
2022,1_art_all,1_all,2_vict_all,230939
2023,1_art_all,1_all,2_vict_all,355023
2015,1_art_all,2_females,2_vict_all,156190
2016,1_art_all,2_females,2_vict_all,167099
2017,1_art_all,2_females,2_vict_all,133633
2018,1_art_all,2_females,2_vict_all,118444
2019,1_art_all,2_females,2_vict_all,102448
2020,1_art_all,2_females,2_vict_all,74885
2021,1_art_all,2_females,2_vict_all,60476
2022,1_art_all,2_females,2_vict_all,61666
2023,1_art_all,2_females,2_vict_all,114163
2015,1_art_all,3_adolescents,2_vict_all,4809
2016,1_art_all,3_adolescents,2_vict_all,4838
2017,1_art_all,3_adolescents,2_vict_all,4095
2018,1_art_all,3_adolescents,2_vict_all,3701
2019,1_art_all,3_adolescents,2_vict_all,3249
2020,1_art_all,3_adolescents,2_vict_all,3202
2021,1_art_all,3_adolescents,2_vict_all,3661
2022,1_art_all,3_adolescents,2_vict_all,6047
2023,1_art_all,3_adolescents,2_vict_all,7289
2015,1_art_all,4_young,2_vict_all,2241
2016,1_art_all,4_young,2_vict_all,2362
2017,1_art_all,4_young,2_vict_all,2208
2018,1_art_all,4_young,2_vict_all,2217
2019,1_art_all,4_young,2_vict_all,2222
2020,1_art_all,4_young,2_vict_all,2034
2021,1_art_all,4_young,2_vict_all,2214
2022,1_art_all,4_young,2_vict_all,2561
2023,1_art_all,4_young,2_vict_all,4206
2015,2_art_115_118,1_all,1_vict_per_100,14.80
2016,2_art_115_118,1_all,1_vict_per_100,8.24
2017,2_art_115_118,1_all,1_vict_per_100,6.49
2018,2_art_115_118,1_all,1_vict_per_100,3.93
2019,2_art_115_118,1_all,1_vict_per_100,3.72
2020,2_art_115_118,1_all,1_vict_per_100,3.90
2021,2_art_115_118,1_all,1_vict_per_100,3.30
2022,2_art_115_118,1_all,1_vict_per_100,27.09
2023,2_art_115_118,1_all,1_vict_per_100,111.97
2015,2_art_115_118,1_all,2_vict_all,6330
2016,2_art_115_118,1_all,2_vict_all,3511
2017,2_art_115_118,1_all,2_vict_all,2751
2018,2_art_115_118,1_all,2_vict_all,1657
2019,2_art_115_118,1_all,2_vict_all,1557
2020,2_art_115_118,1_all,2_vict_all,1624
2021,2_art_115_118,1_all,2_vict_all,1346
2022,2_art_115_118,1_all,2_vict_all,11154
2023,2_art_115_118,1_all,2_vict_all,46095
2015,2_art_115_118,2_females,2_vict_all,1214
2016,2_art_115_118,2_females,2_vict_all,980
2017,2_art_115_118,2_females,2_vict_all,461
2018,2_art_115_118,2_females,2_vict_all,465
2019,2_art_115_118,2_females,2_vict_all,429
2020,2_art_115_118,2_females,2_vict_all,405
2021,2_art_115_118,2_females,2_vict_all,353
2022,2_art_115_118,2_females,2_vict_all,376
2023,2_art_115_118,2_females,2_vict_all,342
2015,2_art_115_118,3_adolescents,2_vict_all,55
2016,2_art_115_118,3_adolescents,2_vict_all,36
2017,2_art_115_118,3_adolescents,2_vict_all,19
2018,2_art_115_118,3_adolescents,2_vict_all,19
2019,2_art_115_118,3_adolescents,2_vict_all,12
2020,2_art_115_118,3_adolescents,2_vict_all,18
2021,2_art_115_118,3_adolescents,2_vict_all,10
2022,2_art_115_118,3_adolescents,2_vict_all,9
2023,2_art_115_118,3_adolescents,2_vict_all,145
2015,2_art_115_118,4_young,2_vict_all,91
2016,2_art_115_118,4_young,2_vict_all,79
2017,2_art_115_118,4_young,2_vict_all,41
2018,2_art_115_118,4_young,2_vict_all,46
2019,2_art_115_118,4_young,2_vict_all,39
2020,2_art_115_118,4_young,2_vict_all,45
2021,2_art_115_118,4_young,2_vict_all,32
2022,2_art_115_118,4_young,2_vict_all,25
2023,2_art_115_118,4_young,2_vict_all,20
2015,3_art_152,1_all,1_vict_per_100,0.72
2016,3_art_152,1_all,1_vict_per_100,0.77
2017,3_art_152,1_all,1_vict_per_100,0.55
2018,3_art_152,1_all,1_vict_per_100,0.47
2019,3_art_152,1_all,1_vict_per_100,0.81
