Year,Область,Value
2015,,100
2016,,107
2017,,98
2018,,109
2019,,113
2020,,101
2021,,103
2015,Вінницька,100
2016,Вінницька,93
2017,Вінницька,100
2018,Вінницька,60
2019,Вінницька,140
2020,Вінницька,80
2021,Вінницька,87
2015,Волинська,100
2016,Волинська,131
2017,Волинська,62
2018,Волинська,77
2019,Волинська,162
2020,Волинська,108
2021,Волинська,54
2015,Дніпропетровська,100
2016,Дніпропетровська,100
2017,Дніпропетровська,83
2018,Дніпропетровська,100
2019,Дніпропетровська,89
2020,Дніпропетровська,57
2021,Дніпропетровська,66
2015,Донецька,100
2016,Донецька,81
2017,Донецька,86
2018,Донецька,103
2019,Донецька,58
2020,Донецька,67
2021,Донецька,69
2015,Житомирська,100
2016,Житомирська,138
2017,Житомирська,100
2018,Житомирська,188
2019,Житомирська,175
2020,Житомирська,175
2021,Житомирська,213
2015,Закарпатська,100
2016,Закарпатська,150
2017,Закарпатська,225
2018,Закарпатська,100
2019,Закарпатська,100
2020,Закарпатська,250
2021,Закарпатська,150
2015,Запорізька,100
2016,Запорізька,108
2017,Запорізька,117
2018,Запорізька,117
2019,Запорізька,100
2020,Запорізька,142
2021,Запорізька,158
2015,Івано-Франківська,100
2016,Івано-Франківська,110
2017,Івано-Франківська,100
2018,Івано-Франківська,130
2019,Івано-Франківська,180
2020,Івано-Франківська,150
2021,Івано-Франківська,230
2015,Київська,100
2016,Київська,109
2017,Київська,87
2018,Київська,83
2019,Київська,57
2020,Київська,61
2021,Київська,96
2015,Кіровоградська,100
2016,Кіровоградська,188
2017,Кіровоградська,75
2018,Кіровоградська,63
2019,Кіровоградська,113
2020,Кіровоградська,186
2021,Кіровоградська,203
2015,Луганська,100
2016,Луганська,100
2017,Луганська,11
2018,Луганська,44
2019,Луганська,56
2020,Луганська,113
2021,Луганська,38
2015,Львівська,100
2016,Львівська,100
2017,Львівська,150
2018,Львівська,123
2019,Львівська,150
2020,Львівська,78
2021,Львівська,44
2015,Миколаївська,100
2016,Миколаївська,250
2017,Миколаївська,250
2018,Миколаївська,325
2019,Миколаївська,450
2020,Миколаївська,91
2021,Миколаївська,86
2015,Одеська,100
2016,Одеська,100
2017,Одеська,83
2018,Одеська,111
2019,Одеська,144
2020,Одеська,250
2021,Одеська,350
2015,Полтавська,100
2016,Полтавська,89
2017,Полтавська,84
2018,Полтавська,100
2019,Полтавська,68
2020,Полтавська,89
2021,Полтавська,78
2015,Рівненська,100
2016,Рівненська,500
2017,Рівненська,325
2018,Рівненська,375
2019,Рівненська,200
2020,Рівненська,89
2021,Рівненська,89
2015,Сумська,100
2016,Сумська,136
2017,Сумська,55
2018,Сумська,18
2019,Сумська,91
2020,Сумська,475
2021,Сумська,175
2015,Тернопільська,100
2016,Тернопільська,80
2017,Тернопільська,80
2018,Тернопільська,130
2019,Тернопільська,150
2020,Тернопільська,64
2021,Тернопільська,64
2015,Харківська,100
2016,Харківська,115
2017,Харківська,90
2018,Харківська,50
2019,Харківська,125
2020,Харківська,80
2021,Харківська,120
2015,Херсонська,100
2016,Херсонська,89
2017,Херсонська,56
2018,Херсонська,100
2019,Херсонська,33
2020,Херсонська,105
2021,Херсонська,100
2015,Хмельницька,100
2016,Хмельницька,81
2017,Хмельницька,75
2018,Хмельницька,69
2019,Хмельницька,69
2020,Хмельницька,44
2021,Хмельницька,56
2015,Черкаська,100
2016,Черкаська,113
2017,Черкаська,200
2018,Черкаська,150
2019,Черкаська,138
2020,Черкаська,81
2021,Черкаська,50
2015,Чернівецька,100
2016,Чернівецька,100
2017,Чернівецька,50
2018,Чернівецька,50
2019,Чернівецька,75
2020,Чернівецька,100
2021,Чернівецька,188
2015,Чернігівська,100
2016,Чернігівська,108
2017,Чернігівська,67
2018,Чернігівська,100
2019,Чернігівська,92
2020,Чернігівська,88
2021,Чернігівська,50
2015,місто Київ,100
2016,місто Київ,66
2017,місто Київ,141
2018,місто Київ,224
2019,місто Київ,179
2020,місто Київ,92
2021,місто Київ,125
