Year,Область,Value
2015,,100
2016,,104
2017,,101
2018,,97
2019,,91
2020,,144
2015,Вінницька,100
2016,Вінницька,109
2017,Вінницька,98
2018,Вінницька,122
2019,Вінницька,115
2020,Вінницька,128
2015,Волинська,100
2016,Волинська,92
2017,Волинська,87
2018,Волинська,90
2019,Волинська,98
2020,Волинська,112
2015,Дніпропетровська,100
2016,Дніпропетровська,119
2017,Дніпропетровська,116
2018,Дніпропетровська,99
2019,Дніпропетровська,100
2020,Дніпропетровська,100
2015,Донецька,100
2016,Донецька,99
2017,Донецька,90
2018,Донецька,84
2019,Донецька,70
2020,Донецька,69
2015,Житомирська,100
2016,Житомирська,126
2017,Житомирська,107
2018,Житомирська,111
2019,Житомирська,96
2020,Житомирська,203
2015,Закарпатська,100
2016,Закарпатська,95
2017,Закарпатська,124
2018,Закарпатська,138
2019,Закарпатська,92
2020,Закарпатська,222
2015,Запорізька,100
2016,Запорізька,104
2017,Запорізька,110
2018,Запорізька,104
2019,Запорізька,73
2020,Запорізька,86
2015,Івано-Франківська,100
2016,Івано-Франківська,77
2017,Івано-Франківська,107
2018,Івано-Франківська,117
2019,Івано-Франківська,102
2020,Івано-Франківська,332
2015,Київська,100
2016,Київська,54
2017,Київська,60
2018,Київська,50
2019,Київська,61
2020,Київська,198
2015,Кіровоградська,100
2016,Кіровоградська,145
2017,Кіровоградська,220
2018,Кіровоградська,169
2019,Кіровоградська,192
2020,Кіровоградська,292
2015,Луганська,100
2016,Луганська,122
2017,Луганська,80
2018,Луганська,116
2019,Луганська,91
2020,Луганська,111
2015,Львівська,100
2016,Львівська,95
2017,Львівська,99
2018,Львівська,81
2019,Львівська,79
2020,Львівська,156
2015,Миколаївська,100
2016,Миколаївська,130
2017,Миколаївська,109
2018,Миколаївська,132
2019,Миколаївська,135
2020,Миколаївська,148
2015,Одеська,100
2016,Одеська,100
2017,Одеська,106
2018,Одеська,104
2019,Одеська,109
2020,Одеська,182
2015,Полтавська,100
2016,Полтавська,97
2017,Полтавська,90
2018,Полтавська,83
2019,Полтавська,86
2020,Полтавська,96
2015,Рівненська,100
2016,Рівненська,127
2017,Рівненська,113
2018,Рівненська,113
2019,Рівненська,79
2020,Рівненська,219
2015,Сумська,100
2016,Сумська,90
2017,Сумська,85
2018,Сумська,68
2019,Сумська,95
2020,Сумська,84
2015,Тернопільська,100
2016,Тернопільська,88
2017,Тернопільська,119
2018,Тернопільська,142
2019,Тернопільська,129
2020,Тернопільська,302
2015,Харківська,100
2016,Харківська,129
2017,Харківська,99
2018,Харківська,107
2019,Харківська,99
2020,Харківська,213
2015,Херсонська,100
2016,Херсонська,96
2017,Херсонська,107
2018,Херсонська,110
2019,Херсонська,95
2020,Херсонська,134
2015,Хмельницька,100
2016,Хмельницька,124
2017,Хмельницька,122
2018,Хмельницька,121
2019,Хмельницька,131
2020,Хмельницька,325
2015,Черкаська,100
2016,Черкаська,77
2017,Черкаська,82
2018,Черкаська,82
2019,Черкаська,74
2020,Черкаська,211
2015,Чернівецька,100
2016,Чернівецька,120
2017,Чернівецька,113
2018,Чернівецька,120
2019,Чернівецька,127
2020,Чернівецька,710
2015,Чернігівська,100
2016,Чернігівська,105
2017,Чернігівська,99
2018,Чернігівська,98
2019,Чернігівська,94
2020,Чернігівська,169
2015,місто Київ,100
2016,місто Київ,105
2017,місто Київ,106
2018,місто Київ,91
2019,місто Київ,86
2020,місто Київ,145
